distance_m,easting_m,northing_m,elevation_m_egm2008,dem_valid
6120.0,339121.7147660529,3123996.1969870785,1665.8258056640625,True
6150.0,339123.5661479615,3123966.25416849,1671.6776123046875,True
6180.0,339125.11586069677,3123936.294827871,1676.9315185546875,True
6210.0,339126.5456024023,3123906.3289165944,1671.494140625,True
6240.0,339131.94520346087,3123876.93923952,1658.7314453125,True
6270.0,339141.1448899652,3123848.4868438486,1647.7061767578125,True
6300.0,339151.6146450749,3123820.461871577,1668.638916015625,True
6330.0,339159.52629036695,3123791.5574155166,1656.7872314453125,True
6360.0,339165.4620475261,3123762.464065537,1646.5792236328125,True
6390.0,339166.8480812963,3123732.496100801,1640.098388671875,True
6420.0,339170.1638952219,3123702.730709447,1637.90869140625,True
6450.0,339175.03111156786,3123673.128172308,1638.6090087890625,True
6480.0,339179.2588233922,3123643.454635523,1669.6912841796875,True
6510.0,339181.0032182806,3123613.505393688,1666.2601318359375,True
6540.0,339180.2944374306,3123583.550043951,1663.211181640625,True
6570.0,339178.69919813675,3123553.5924871145,1657.7659912109375,True
6600.0,339176.1650033555,3123523.700317745,1618.031005859375,True
6630.0,339175.555026249,3123493.762479966,1612.9822998046875,True
6660.0,339177.4159590595,3123463.828926388,1610.623046875,True
6690.0,339179.95503044024,3123433.936567556,1626.0318603515625,True
6720.0,339182.49410182104,3123404.0442087245,1625.2547607421875,True
6750.0,339183.1627520462,3123374.062524978,1622.326904296875,True
6780.0,339183.10502805345,3123344.0625805124,1613.2750244140625,True
6810.0,339183.04730406066,3123314.0626360467,1603.9332275390625,True
6840.0,339183.3322643199,3123284.0639913725,1599.402587890625,True
6870.0,339184.1079562735,3123254.0764634423,1598.075927734375,True
6900.0,339185.7297540889,3123224.131609828,1598.0438232421875,True
6930.0,339188.5799039515,3123194.267305956,1597.922607421875,True
6960.0,339185.88894928055,3123164.5002751537,1597.6083984375,True
6990.0,339180.0071241203,3123135.185570942,1599.8504638671875,True
7020.0,339171.9975448699,3123106.2831051513,1588.8310546875,True
7050.0,339164.6915874045,3123077.196837532,1588.8310546875,True
7080.0,339162.3871901292,3123047.2854725816,1590.5867919921875,True
