line,chainage_km,thalweg_z,unosat_affected_cells,unosat_affected_trimline_m,unosat_affected_trimline_p25_m,unosat_affected_trimline_p75_m,unosat_affected_width_m,unosat_floodextent_cells,unosat_floodextent_trimline_m,unosat_floodextent_trimline_p25_m,unosat_floodextent_trimline_p75_m,unosat_floodextent_width_m,planet_disturbed_p50_cells,planet_disturbed_p50_trimline_m,planet_disturbed_p50_trimline_p25_m,planet_disturbed_p50_trimline_p75_m,planet_disturbed_p50_width_m
route,38.25,738.676025390625,144,57.4290771484375,34.29034423828125,80.94189453125,259.2,144,57.4290771484375,34.29034423828125,80.94189453125,259.2,0,,,,0.0
route,38.75,724.7821655273438,167,37.29986572265625,31.3648681640625,46.06903076171875,300.6,167,37.29986572265625,31.3648681640625,46.06903076171875,300.6,0,,,,0.0
route,39.25,715.4588012695312,236,41.2958984375,31.9095458984375,52.524169921875,424.8,236,41.2958984375,31.9095458984375,52.524169921875,424.8,0,,,,0.0
route,39.75,701.6984252929688,162,82.39349365234375,46.95086669921875,98.62738037109375,291.6,162,82.39349365234375,46.95086669921875,98.62738037109375,291.6,0,,,,0.0
route,40.25,686.45947265625,122,26.71954345703125,20.900634765625,34.62762451171875,219.6,122,26.71954345703125,20.900634765625,34.62762451171875,219.6,0,,,,0.0
route,40.75,671.9422607421875,190,29.3709716796875,14.83062744140625,41.9881591796875,342.0,190,29.3709716796875,14.83062744140625,41.9881591796875,342.0,0,,,,0.0
route,41.25,664.3294677734375,164,30.32586669921875,17.39190673828125,37.13421630859375,295.2,164,30.32586669921875,17.39190673828125,37.13421630859375,295.2,0,,,,0.0
route,41.75,654.1137084960938,175,33.95733642578125,24.8138427734375,35.27935791015625,315.0,174,31.62042236328125,24.8138427734375,34.9495849609375,313.2,0,,,,0.0
route,42.25,644.6787719726562,146,41.7342529296875,24.876220703125,48.35968017578125,262.8,146,41.7342529296875,24.876220703125,48.35968017578125,262.8,0,,,,0.0
route,42.75,634.3499755859375,139,42.0950927734375,27.72247314453125,48.6817626953125,250.2,139,42.0950927734375,27.72247314453125,48.6817626953125,250.2,0,,,,0.0
